рыба2 - это рыбка, место ее обитания: море, возраст: 11
кукушка - это птичка, которая не мигрирует, возраст: 7
осетр - это рыбка, место ее обитания: река, возраст: 3
голубь - это птичка, которая не мигрирует, возраст: 2
рыба3 - это рыбка, место ее обитания: море, возраст: 3
клест - это птичка, которая мигрирует, возраст: 5
птица1 - это птичка, которая мигрирует, возраст: 9
золотая_рыбка - это рыбка, место ее обитания: аквариум, возраст: 25
птица2 - это птичка, которая не мигрирует, возраст: 6
лещ - это рыбка, место ее обитания: океан, возраст: 13
рыба1 - это рыбка, место ее обитания: озеро, возраст: 4
